strike,bid,ask,option_type,mid_quote,forward,Implied Vol,delta
3960,4,4.3,P,4.15,4160.434147,22.53723145,-0.067220826
3965,4.3,4.5,P,4.4,4160.434147,22.33886719,-0.070556849
3970,4.6,4.8,P,4.7,4160.434147,22.33886719,-0.07585031
3975,4.9,5.1,P,5,4160.434147,22.15576172,-0.079750307
3980,5.2,5.5,P,5.35,4160.434147,22.06420898,-0.084725331
3985,5.6,5.8,P,5.7,4160.434147,21.97265625,-0.089965917
3990,6,6.2,P,6.1,4160.434147,21.85058594,-0.095180318
3995,6.4,6.6,P,6.5,4160.434147,21.72851563,-0.100667471
4000,6.8,7.1,P,6.95,4160.434147,21.66748047,-0.107067666
4005,7.3,7.5,P,7.4,4160.434147,21.54541016,-0.113145641
4010,7.8,8,P,7.9,4160.434147,21.484375,-0.120179785
4015,8.3,8.5,P,8.4,4160.434147,21.36230469,-0.126890178
4020,8.9,9.1,P,9,4160.434147,21.24023438,-0.133927776
4025,9.5,9.7,P,9.6,4160.434147,21.17919922,-0.141978134
4030,10.1,10.3,P,10.2,4160.434147,21.05712891,-0.149709265
4035,10.8,11,P,10.9,4160.434147,20.99609375,-0.158481665
4040,11.5,11.7,P,11.6,4160.434147,20.87402344,-0.166943174
4045,12.2,12.5,P,12.35,4160.434147,20.7901001,-0.17620972
4050,13,13.3,P,13.15,4160.434147,20.70236206,-0.185818313
4055,13.8,14.1,P,13.95,4160.434147,20.58410645,-0.195478839
4060,14.8,15,P,14.9,4160.434147,20.5078125,-0.206001853
4065,15.7,15.9,P,15.8,4160.434147,20.41625977,-0.216755969
4070,16.7,16.9,P,16.8,4160.434147,20.32470703,-0.22791357
4075,17.7,18,P,17.85,4160.434147,20.24078369,-0.239556005
4080,18.8,19.1,P,18.95,4160.434147,20.15304565,-0.251561837
4085,20,20.3,P,20.15,4160.434147,20.0843811,-0.264157334
4090,21.2,21.5,P,21.35,4160.434147,19.98519897,-0.276851738
4095,22.5,22.8,P,22.65,4160.434147,19.90509033,-0.290123047
4100,23.9,24.2,P,24.05,4160.434147,19.84024048,-0.30390816
4105,25.3,25.6,P,25.45,4160.434147,19.74487305,-0.317808192
4110,26.8,27.1,P,26.95,4160.434147,19.6647644,-0.332203879
4115,28.3,28.7,P,28.5,4160.434147,19.59228516,-0.347005738
4120,30,30.4,P,30.2,4160.434147,19.53125,-0.36220917
4125,31.7,32.1,P,31.9,4160.434147,19.43969727,-0.377542326
4130,33.5,33.9,P,33.7,4160.434147,19.34814453,-0.393198817
4135,35.4,35.8,P,35.6,4160.434147,19.28710938,-0.409284746
4140,37.4,37.8,P,37.6,4160.434147,19.22607422,-0.425608209
4145,39.4,39.8,P,39.6,4160.434147,19.13452148,-0.442071156
4150,41.5,42,P,41.75,4160.434147,19.06967163,-0.458815554
4155,43.8,44.2,P,44,4160.434147,19.01245117,-0.475732868
4165,43.8,44.1,C,43.95,4160.434147,18.78356934,0.489957258
4170,41.2,41.6,C,41.4,4160.434147,18.70727539,0.472609581
4175,38.8,39.2,C,39,4160.434147,18.64624023,0.455238673
4180,36.5,36.9,C,36.7,4160.434147,18.61572266,0.437979254
4185,34.2,34.6,C,34.4,4160.434147,18.49365234,0.420361366
4190,32.1,32.5,C,32.3,4160.434147,18.46313477,0.403216842
4195,30,30.4,C,30.2,4160.434147,18.40209961,0.386019786
4200,28,28.4,C,28.2,4160.434147,18.31054688,0.368724111
4205,26.2,26.5,C,26.35,4160.434147,18.28384399,0.352077597
4210,24.3,24.7,C,24.5,4160.434147,18.18847656,0.335060599
4215,22.6,22.9,C,22.75,4160.434147,18.12744141,0.318558245
4220,21,21.3,C,21.15,4160.434147,18.08547974,0.30251917
4225,19.4,19.8,C,19.6,4160.434147,18.00537109,0.286373398
4230,18,18.3,C,18.15,4160.434147,17.97866821,0.271154994
4235,16.6,16.9,C,16.75,4160.434147,17.91763306,0.255904365
4240,15.3,15.6,C,15.45,4160.434147,17.86804199,0.241176436
4245,14.1,14.4,C,14.25,4160.434147,17.82989502,0.227009747
4250,13,13.3,C,13.15,4160.434147,17.80700684,0.213487209
4255,11.9,12.2,C,12.05,4160.434147,17.74978638,0.19995854
4260,10.9,11.2,C,11.05,4160.434147,17.70782471,0.187102723
4265,9.9,10.2,C,10.05,4160.434147,17.62771606,0.174191904
4270,9.1,9.3,C,9.2,4160.434147,17.578125,0.162196661
4275,8.3,8.5,C,8.4,4160.434147,17.578125,0.151401928
4280,7.5,7.8,C,7.65,4160.434147,17.53234863,0.140465198
4290,6.2,6.4,C,6.3,4160.434147,17.45605469,0.120325552
4300,5.1,5.3,C,5.2,4160.434147,17.45605469,0.103213
4310,4.1,4.3,C,4.2,4160.434147,17.33398438,0.086433361
4320,3.3,3.5,C,3.4,4160.434147,17.33398438,0.073062287
4325,3,3.2,C,3.1,4160.434147,17.33398438,0.067010452
4350,1.7,1.85,C,1.775,4160.434147,17.23670959,0.041556878
4400,0.5,0.65,C,0.575,4160.434147,17.37213135,0.015249056
4450,0.15,0.25,C,0.2,4160.434147,17.578125,0.005054136
4500,0.05,0.15,C,0.1,4160.434147,19.53125,0.003482009
4600,0,0.1,C,0.05,4160.434147,22.4609375,0.001334528
4700,0,0.1,C,0.05,4160.434147,26.85546875,0.001155872
4800,0,0.05,C,0.025,4160.434147,29.296875,0.000528349
5000,0,0.05,C,0.025,4160.434147,36.92626953,0.00042661
